央视卫视,#genre#
黑龙江卫视,http://43.251.226.110:8880/play/1863.m3u8
吉林卫视,http://43.251.226.110:8880/play/1864.m3u8
辽宁卫视,http://43.251.226.110:8880/play/1865.m3u8
内蒙古卫视,http://43.251.226.110:8880/play/1866.m3u8
甘肃卫视,http://43.251.226.110:8880/play/1867.m3u8
青海卫视,http://43.251.226.110:8880/play/1868.m3u8
陕西卫视,http://43.251.226.110:8880/play/1869.m3u8
山西卫视,http://43.251.226.110:8880/play/1870.m3u8
山东卫视,http://43.251.226.110:8880/play/1871.m3u8
安徽卫视,http://43.251.226.110:8880/play/1872.m3u8
河南卫视,http://43.251.226.110:8880/play/1873.m3u8
湖北卫视,http://43.251.226.110:8880/play/1874.m3u8
湖南卫视,http://43.251.226.110:8880/play/1875.m3u8
江西卫视,http://43.251.226.110:8880/play/1876.m3u8
江苏卫视,http://43.251.226.110:8880/play/1877.m3u8
浙江卫视,http://43.251.226.110:8880/play/1878.m3u8
东南卫视,http://43.251.226.110:8880/play/1879.m3u8
广东卫视,http://43.251.226.110:8880/play/1880.m3u8
深圳卫视,http://43.251.226.110:8880/play/1881.m3u8
广西卫视,http://43.251.226.110:8880/play/1882.m3u8
云南卫视,http://43.251.226.110:8880/play/1883.m3u8
贵州卫视,http://43.251.226.110:8880/play/1884.m3u8
四川卫视,http://43.251.226.110:8880/play/1885.m3u8
康巴卫视,http://43.251.226.110:8880/play/1886.m3u8
新疆卫视,http://43.251.226.110:8880/play/1887.m3u8
兵团卫视,http://43.251.226.110:8880/play/1888.m3u8
西藏卫视,http://43.251.226.110:8880/play/1889.m3u8
海南卫视,http://43.251.226.110:8880/play/1890.m3u8
卡酷少儿,http://43.251.226.110:8880/play/1891.m3u8
金鹰卡通,http://43.251.226.110:8880/play/1892.m3u8
嘉佳卡通,http://43.251.226.110:8880/play/1893.m3u8
成都少儿,http://43.251.226.110:8880/play/1894.m3u8
四川经济,http://43.251.226.110:8880/play/1895.m3u8
四川文化,http://43.251.226.110:8880/play/1896.m3u8
四川新闻,http://43.251.226.110:8880/play/1897.m3u8
四川影视,http://43.251.226.110:8880/play/1898.m3u8
四川科教,http://43.251.226.110:8880/play/1899.m3u8
四川乡村,http://43.251.226.110:8880/play/1900.m3u8
峨嵋电影,http://43.251.226.110:8880/play/1901.m3u8
成都新闻,http://43.251.226.110:8880/play/1902.m3u8
成都经济,http://43.251.226.110:8880/play/1903.m3u8
成都都市,http://43.251.226.110:8880/play/1904.m3u8
成都影视,http://43.251.226.110:8880/play/1905.m3u8
成都公共,http://43.251.226.110:8880/play/1906.m3u8
成都高新,http://43.251.226.110:8880/play/1907.m3u8
CHC影迷电影,http://43.251.226.110:8880/play/1908.m3u8
CHC动作电影,http://43.251.226.110:8880/play/1909.m3u8
CHC家庭影院,http://43.251.226.110:8880/play/1910.m3u8
中央新影-老故事,http://43.251.226.110:8880/play/1911.m3u8
中央新影-中学生,http://43.251.226.110:8880/play/1912.m3u8
中央新影-发现之旅,http://43.251.226.110:8880/play/1913.m3u8
书画频道,http://43.251.226.110:8880/play/1914.m3u8
中国天气,http://43.251.226.110:8880/play/1915.m3u8
重温经典,http://43.251.226.110:8880/play/1916.m3u8
CETV1,http://43.251.226.110:8880/play/1917.m3u8
CETV2,http://43.251.226.110:8880/play/1918.m3u8
CETV4,http://43.251.226.110:8880/play/1919.m3u8
四海钓鱼,http://43.251.226.110:8880/play/1920.m3u8
车迷,http://43.251.226.110:8880/play/1921.m3u8
证劵服务,http://43.251.226.110:8880/play/1922.m3u8
动漫秀场,http://43.251.226.110:8880/play/1923.m3u8
都市剧场,http://43.251.226.110:8880/play/1924.m3u8
法治天地,http://43.251.226.110:8880/play/1925.m3u8
欢笑剧场,http://43.251.226.110:8880/play/1926.m3u8
乐游,http://43.251.226.110:8880/play/1927.m3u8
魅力足球,http://43.251.226.110:8880/play/1928.m3u8
生活时尚,http://43.251.226.110:8880/play/1929.m3u8
新视觉,http://43.251.226.110:8880/play/1930.m3u8
汽摩,http://43.251.226.110:8880/play/1931.m3u8
梨园频道,http://43.251.226.110:8880/play/1932.m3u8
武术世界,http://43.251.226.110:8880/play/1933.m3u8
文物宝库,http://43.251.226.110:8880/play/1934.m3u8
茶频道,http://43.251.226.110:8880/play/1935.m3u8
金鹰纪实,http://43.251.226.110:8880/play/1936.m3u8
北京纪实科教,http://43.251.226.110:8880/play/1937.m3u8
快乐垂钓,http://43.251.226.110:8880/play/1938.m3u8
先锋乒羽,http://43.251.226.110:8880/play/1939.m3u8
财富天下,http://43.251.226.110:8880/play/1940.m3u8
天元围棋,http://43.251.226.110:8880/play/1941.m3u8
精品导视,http://43.251.226.110:8880/play/1942.m3u8
精品导视2,http://43.251.226.110:8880/play/1943.m3u8
川网导视,http://43.251.226.110:8880/play/1944.m3u8
东方财经,http://43.251.226.110:8880/play/1945.m3u8
山东教育,http://43.251.226.110:8880/play/1946.m3u8
青羊电视,http://43.251.226.110:8880/play/1947.m3u8
崇州,http://43.251.226.110:8880/play/1948.m3u8
大邑,http://43.251.226.110:8880/play/1949.m3u8
都江堰综合,http://43.251.226.110:8880/play/1950.m3u8
金牛综合,http://43.251.226.110:8880/play/1951.m3u8
金堂,http://43.251.226.110:8880/play/1952.m3u8
简阳新闻,http://43.251.226.110:8880/play/1953.m3u8
龙泉新闻,http://43.251.226.110:8880/play/1954.m3u8
郫都新闻,http://43.251.226.110:8880/play/1955.m3u8
蒲江综合,http://43.251.226.110:8880/play/1956.m3u8
彭州综合,http://43.251.226.110:8880/play/1957.m3u8
青白江综合,http://43.251.226.110:8880/play/1958.m3u8
邛崃综合,http://43.251.226.110:8880/play/1959.m3u8
双流综合,http://43.251.226.110:8880/play/1960.m3u8
温江新闻,http://43.251.226.110:8880/play/1961.m3u8
新都综合,http://43.251.226.110:8880/play/1962.m3u8
新津综合,http://43.251.226.110:8880/play/1963.m3u8
绵阳新闻,http://43.251.226.110:8880/play/1964.m3u8
绵阳科技,http://43.251.226.110:8880/play/1965.m3u8
